id,name,owner,location,crop_type,area_acres,expected_yield_tons,status
FRM-0001,Farm 0001,Grower 0001,Nashik,Grapes,60.62,81.02,Growing
FRM-0002,Farm 0002,Grower 0002,Nashik,Grapes,49.29,19.22,Growing
FRM-0003,Farm 0003,Grower 0003,Pune,Mango,42.9,17.7,Growing
FRM-0004,Farm 0004,Grower 0004,Coimbatore,Mango,38.69,90.68,Growing
FRM-0005,Farm 0005,Grower 0005,Pune,Pomegranate,30.52,55.09,Harvesting
FRM-0006,Farm 0006,Grower 0006,Nashik,Grapes,33.49,114.1,Harvesting
FRM-0007,Farm 0007,Grower 0007,Mysuru,Grapes,59.73,165.51,Harvesting
FRM-0008,Farm 0008,Grower 0008,Nashik,Banana,67.21,189.37,Harvesting
FRM-0009,Farm 0009,Grower 0009,Pune,Grapes,8.44,76.09,Harvesting
FRM-0010,Farm 0010,Grower 0010,Nashik,Mango,69.99,120.24,Harvesting
FRM-0011,Farm 0011,Grower 0011,Mysuru,Mango,32.76,70.76,Harvesting
FRM-0012,Farm 0012,Grower 0012,Nashik,Mango,45.06,81.0,Harvesting
FRM-0013,Farm 0013,Grower 0013,Coimbatore,Banana,79.21,195.6,Idle
FRM-0014,Farm 0014,Grower 0014,Pune,Banana,68.21,235.04,Growing
FRM-0015,Farm 0015,Grower 0015,Nashik,Banana,35.09,29.19,Idle
FRM-0016,Farm 0016,Grower 0016,Mysuru,Mango,54.16,124.73,Idle
FRM-0017,Farm 0017,Grower 0017,Coimbatore,Mango,24.87,81.52,Idle
FRM-0018,Farm 0018,Grower 0018,Mysuru,Pomegranate,72.34,125.83,Growing
FRM-0019,Farm 0019,Grower 0019,Pune,Pomegranate,11.82,23.66,Growing
FRM-0020,Farm 0020,Grower 0020,Pune,Mango,64.41,132.43,Growing
FRM-0021,Farm 0021,Grower 0021,Coimbatore,Pomegranate,49.69,145.73,Harvesting
FRM-0022,Farm 0022,Grower 0022,Nashik,Grapes,56.13,165.72,Harvesting
FRM-0023,Farm 0023,Grower 0023,Mysuru,Grapes,27.01,55.87,Growing
FRM-0024,Farm 0024,Grower 0024,Mysuru,Mango,43.08,40.86,Idle
FRM-0025,Farm 0025,Grower 0025,Mysuru,Mango,16.46,231.13,Idle
FRM-0026,Farm 0026,Grower 0026,Nashik,Banana,41.65,42.44,Harvesting
FRM-0027,Farm 0027,Grower 0027,Mysuru,Mango,9.34,264.62,Growing
FRM-0028,Farm 0028,Grower 0028,Nashik,Pomegranate,66.2,293.62,Idle
FRM-0029,Farm 0029,Grower 0029,Pune,Mango,54.48,284.59,Growing
FRM-0030,Farm 0030,Grower 0030,Mysuru,Pomegranate,77.33,279.38,Idle
FRM-0031,Farm 0031,Grower 0031,Pune,Banana,34.92,204.79,Harvesting
FRM-0032,Farm 0032,Grower 0032,Coimbatore,Pomegranate,14.08,75.16,Harvesting
FRM-0033,Farm 0033,Grower 0033,Nashik,Mango,49.13,12.09,Idle
FRM-0034,Farm 0034,Grower 0034,Nashik,Mango,10.06,19.11,Harvesting
FRM-0035,Farm 0035,Grower 0035,Nashik,Mango,25.89,150.77,Idle
FRM-0036,Farm 0036,Grower 0036,Pune,Pomegranate,23.22,147.16,Harvesting
FRM-0037,Farm 0037,Grower 0037,Pune,Grapes,12.27,135.0,Harvesting
FRM-0038,Farm 0038,Grower 0038,Coimbatore,Pomegranate,69.79,25.71,Idle
FRM-0039,Farm 0039,Grower 0039,Nashik,Grapes,35.2,108.4,Growing
FRM-0040,Farm 0040,Grower 0040,Pune,Mango,19.27,140.1,Harvesting
FRM-0041,Farm 0041,Grower 0041,Pune,Banana,39.7,263.6,Growing
FRM-0042,Farm 0042,Grower 0042,Coimbatore,Grapes,8.79,299.79,Growing
FRM-0043,Farm 0043,Grower 0043,Nashik,Mango,17.47,150.84,Growing
FRM-0044,Farm 0044,Grower 0044,Coimbatore,Grapes,17.35,10.63,Harvesting
FRM-0045,Farm 0045,Grower 0045,Mysuru,Pomegranate,26.39,212.01,Idle
FRM-0046,Farm 0046,Grower 0046,Coimbatore,Mango,19.24,73.13,Growing
FRM-0047,Farm 0047,Grower 0047,Nashik,Banana,9.29,179.41,Idle
FRM-0048,Farm 0048,Grower 0048,Pune,Grapes,77.06,33.23,Growing
FRM-0049,Farm 0049,Grower 0049,Nashik,Grapes,55.64,78.21,Growing
FRM-0050,Farm 0050,Grower 0050,Pune,Grapes,51.45,131.58,Idle
FRM-0051,Farm 0051,Grower 0051,Mysuru,Banana,20.32,217.7,Growing
FRM-0052,Farm 0052,Grower 0052,Mysuru,Pomegranate,14.82,197.2,Harvesting
FRM-0053,Farm 0053,Grower 0053,Mysuru,Grapes,5.7,190.14,Idle
FRM-0054,Farm 0054,Grower 0054,Nashik,Grapes,45.32,156.71,Growing
FRM-0055,Farm 0055,Grower 0055,Mysuru,Grapes,70.95,117.16,Growing
FRM-0056,Farm 0056,Grower 0056,Coimbatore,Banana,50.88,296.3,Idle
FRM-0057,Farm 0057,Grower 0057,Nashik,Banana,74.88,40.04,Growing
FRM-0058,Farm 0058,Grower 0058,Mysuru,Grapes,71.73,225.3,Growing
FRM-0059,Farm 0059,Grower 0059,Mysuru,Banana,50.36,218.11,Growing
FRM-0060,Farm 0060,Grower 0060,Mysuru,Pomegranate,23.83,273.37,Growing
FRM-0061,Farm 0061,Grower 0061,Nashik,Pomegranate,67.2,22.79,Harvesting
FRM-0062,Farm 0062,Grower 0062,Pune,Banana,17.12,138.13,Idle
FRM-0063,Farm 0063,Grower 0063,Coimbatore,Grapes,13.39,284.06,Idle
FRM-0064,Farm 0064,Grower 0064,Pune,Grapes,67.59,178.93,Growing
FRM-0065,Farm 0065,Grower 0065,Coimbatore,Mango,8.14,115.75,Growing
FRM-0066,Farm 0066,Grower 0066,Mysuru,Mango,56.16,203.41,Harvesting
FRM-0067,Farm 0067,Grower 0067,Coimbatore,Mango,74.43,78.65,Growing
FRM-0068,Farm 0068,Grower 0068,Pune,Pomegranate,6.86,223.6,Harvesting
FRM-0069,Farm 0069,Grower 0069,Coimbatore,Mango,25.01,238.34,Growing
FRM-0070,Farm 0070,Grower 0070,Coimbatore,Grapes,69.39,74.51,Harvesting
