id,farm_id,weight_tons,quality_grade,status
LOT-00001,FRM-0060,11.45,C,Packing
LOT-00002,FRM-0042,21.44,A,Packing
LOT-00003,FRM-0058,6.85,B,Storage
LOT-00004,FRM-0044,1.69,B,Quality
LOT-00005,FRM-0063,6.09,B,Packing
LOT-00006,FRM-0036,22.13,C,Packing
LOT-00007,FRM-0072,1.24,A,Intake
LOT-00008,FRM-0031,18.28,B,Quality
LOT-00009,FRM-0089,12.43,C,Storage
LOT-00010,FRM-0058,20.03,A,Packing
LOT-00011,FRM-0029,10.71,A,Packing
LOT-00012,FRM-0085,14.96,B,Packing
LOT-00013,FRM-0055,24.92,C,Packing
LOT-00014,FRM-0046,17.87,B,Packing
LOT-00015,FRM-0033,6.53,C,Quality
LOT-00016,FRM-0041,3.87,C,Quality
LOT-00017,FRM-0025,6.19,B,Packing
LOT-00018,FRM-0093,15.15,C,Packing
LOT-00019,FRM-0013,20.98,B,Quality
LOT-00020,FRM-0047,5.31,A,Quality
LOT-00021,FRM-0036,2.09,A,Packing
LOT-00022,FRM-0090,23.66,C,Storage
LOT-00023,FRM-0014,21.95,C,Packing
LOT-00024,FRM-0061,12.49,B,Quality
LOT-00025,FRM-0007,7.06,B,Intake
LOT-00026,FRM-0009,10.62,A,Intake
LOT-00027,FRM-0020,4.58,C,Packing
LOT-00028,FRM-0011,24.85,A,Storage
LOT-00029,FRM-0078,15.31,C,Quality
LOT-00030,FRM-0100,13.54,B,Storage
LOT-00031,FRM-0039,21.64,B,Packing
LOT-00032,FRM-0073,15.9,C,Intake
LOT-00033,FRM-0098,5.99,A,Packing
LOT-00034,FRM-0085,2.95,A,Quality
LOT-00035,FRM-0071,2.8,A,Storage
LOT-00036,FRM-0058,17.54,B,Packing
LOT-00037,FRM-0005,6.56,C,Packing
LOT-00038,FRM-0090,21.63,A,Quality
LOT-00039,FRM-0034,19.91,C,Quality
LOT-00040,FRM-0055,3.75,A,Quality
LOT-00041,FRM-0035,20.84,A,Intake
LOT-00042,FRM-0022,20.02,C,Packing
LOT-00043,FRM-0057,3.98,C,Packing
LOT-00044,FRM-0090,10.66,B,Storage
LOT-00045,FRM-0057,2.93,A,Storage
LOT-00046,FRM-0095,8.74,B,Intake
LOT-00047,FRM-0012,6.49,C,Intake
LOT-00048,FRM-0098,17.13,B,Intake
LOT-00049,FRM-0098,19.15,B,Storage
LOT-00050,FRM-0036,5.36,C,Storage
LOT-00051,FRM-0082,20.54,A,Storage
LOT-00052,FRM-0045,10.8,B,Intake
LOT-00053,FRM-0021,8.92,C,Storage
LOT-00054,FRM-0037,16.9,B,Intake
LOT-00055,FRM-0059,3.11,B,Packing
LOT-00056,FRM-0015,24.28,B,Intake
LOT-00057,FRM-0085,21.86,B,Storage
LOT-00058,FRM-0007,5.5,B,Storage
LOT-00059,FRM-0081,11.61,A,Quality
LOT-00060,FRM-0035,14.18,B,Storage
LOT-00061,FRM-0090,12.63,A,Quality
LOT-00062,FRM-0091,4.8,C,Intake
LOT-00063,FRM-0071,10.79,A,Intake
