id,lot_id,warehouse_id,quantity_tons,status
INV-00001,LOT-00001,WH-007,8.03,Available
INV-00002,LOT-00002,WH-004,7.08,Available
INV-00003,LOT-00003,WH-006,2.46,Available
INV-00004,LOT-00004,WH-003,7.11,Available
INV-00005,LOT-00005,WH-004,16.12,Available
INV-00006,LOT-00006,WH-010,3.45,Available
INV-00007,LOT-00007,WH-009,14.46,Available
INV-00008,LOT-00008,WH-009,6.96,Available
INV-00009,LOT-00009,WH-010,5.33,Available
INV-00010,LOT-00010,WH-006,14.63,Available
INV-00011,LOT-00011,WH-009,16.6,Available
INV-00012,LOT-00012,WH-004,9.84,Available
INV-00013,LOT-00013,WH-010,16.9,Available
INV-00014,LOT-00014,WH-008,12.76,Available
INV-00015,LOT-00015,WH-008,12.23,Available
INV-00016,LOT-00016,WH-002,19.11,Available
INV-00017,LOT-00017,WH-003,1.42,Available
INV-00018,LOT-00018,WH-008,11.62,Available
INV-00019,LOT-00019,WH-001,18.02,Available
INV-00020,LOT-00020,WH-008,17.48,Available
INV-00021,LOT-00021,WH-003,2.21,Available
INV-00022,LOT-00022,WH-006,2.24,Available
INV-00023,LOT-00023,WH-005,11.83,Available
INV-00024,LOT-00024,WH-001,14.56,Available
INV-00025,LOT-00025,WH-008,9.19,Available
INV-00026,LOT-00026,WH-003,19.74,Available
INV-00027,LOT-00027,WH-004,13.57,Available
INV-00028,LOT-00028,WH-005,11.23,Available
INV-00029,LOT-00029,WH-005,7.28,Available
INV-00030,LOT-00030,WH-010,16.17,Available
INV-00031,LOT-00031,WH-009,18.98,Available
INV-00032,LOT-00032,WH-003,15.56,Available
INV-00033,LOT-00033,WH-010,6.97,Available
INV-00034,LOT-00034,WH-001,19.45,Available
INV-00035,LOT-00035,WH-001,14.53,Available
INV-00036,LOT-00036,WH-006,12.16,Available
INV-00037,LOT-00037,WH-002,12.66,Available
INV-00038,LOT-00038,WH-009,8.86,Available
INV-00039,LOT-00039,WH-003,14.92,Available
INV-00040,LOT-00040,WH-004,19.62,Available
INV-00041,LOT-00041,WH-003,16.88,Available
INV-00042,LOT-00042,WH-001,13.34,Available
INV-00043,LOT-00043,WH-008,14.84,Available
INV-00044,LOT-00044,WH-006,2.69,Available
INV-00045,LOT-00045,WH-007,11.91,Available
INV-00046,LOT-00046,WH-007,16.29,Available
INV-00047,LOT-00047,WH-007,14.23,Available
INV-00048,LOT-00048,WH-003,17.1,Available
INV-00049,LOT-00049,WH-003,2.82,Available
INV-00050,LOT-00050,WH-006,4.37,Available
INV-00051,LOT-00051,WH-007,17.7,Available
INV-00052,LOT-00052,WH-008,2.72,Available
INV-00053,LOT-00053,WH-005,8.63,Available
INV-00054,LOT-00054,WH-004,7.67,Available
INV-00055,LOT-00055,WH-002,7.45,Available
INV-00056,LOT-00056,WH-002,10.95,Available
INV-00057,LOT-00057,WH-001,17.71,Available
INV-00058,LOT-00058,WH-001,19.66,Available
INV-00059,LOT-00059,WH-001,13.97,Available
INV-00060,LOT-00060,WH-002,4.2,Available
INV-00061,LOT-00061,WH-009,1.24,Available
INV-00062,LOT-00062,WH-006,8.31,Available
INV-00063,LOT-00063,WH-001,16.2,Available
INV-00064,LOT-00064,WH-010,11.7,Available
INV-00065,LOT-00065,WH-002,19.16,Available
INV-00066,LOT-00066,WH-004,13.09,Available
INV-00067,LOT-00067,WH-008,4.45,Available
INV-00068,LOT-00068,WH-004,19.54,Available
INV-00069,LOT-00069,WH-002,17.57,Available
INV-00070,LOT-00070,WH-003,12.39,Available
INV-00071,LOT-00071,WH-010,4.36,Available
INV-00072,LOT-00072,WH-008,14.42,Available
INV-00073,LOT-00073,WH-003,10.64,Available
INV-00074,LOT-00074,WH-008,1.58,Available
INV-00075,LOT-00075,WH-001,18.77,Available
INV-00076,LOT-00076,WH-002,16.34,Available
INV-00077,LOT-00077,WH-005,18.77,Available
INV-00078,LOT-00078,WH-002,7.63,Available
INV-00079,LOT-00079,WH-003,12.21,Available
INV-00080,LOT-00080,WH-003,18.1,Available
INV-00081,LOT-00081,WH-008,4.67,Available
INV-00082,LOT-00082,WH-003,19.95,Available
INV-00083,LOT-00083,WH-006,18.82,Available
INV-00084,LOT-00084,WH-009,16.8,Available
INV-00085,LOT-00085,WH-008,18.94,Available
INV-00086,LOT-00086,WH-009,2.24,Available
INV-00087,LOT-00087,WH-004,7.95,Available
INV-00088,LOT-00088,WH-004,19.25,Available
INV-00089,LOT-00089,WH-008,4.58,Available
INV-00090,LOT-00090,WH-007,1.79,Available
INV-00091,LOT-00091,WH-001,18.42,Available
INV-00092,LOT-00092,WH-008,16.41,Available
INV-00093,LOT-00093,WH-010,2.88,Available
INV-00094,LOT-00094,WH-009,2.73,Available
INV-00095,LOT-00095,WH-006,18.33,Available
INV-00096,LOT-00096,WH-010,11.93,Available
INV-00097,LOT-00097,WH-009,10.91,Available
INV-00098,LOT-00098,WH-009,13.22,Available
INV-00099,LOT-00099,WH-005,7.09,Available
INV-00100,LOT-00100,WH-008,15.51,Available
INV-00101,LOT-00101,WH-005,18.94,Available
INV-00102,LOT-00102,WH-007,8.68,Available
INV-00103,LOT-00103,WH-007,2.57,Available
INV-00104,LOT-00104,WH-001,10.33,Available
INV-00105,LOT-00105,WH-006,11.66,Available
INV-00106,LOT-00106,WH-010,8.39,Available
INV-00107,LOT-00107,WH-008,19.85,Available
INV-00108,LOT-00108,WH-005,15.65,Available
INV-00109,LOT-00109,WH-001,11.02,Available
INV-00110,LOT-00110,WH-001,4.57,Available
INV-00111,LOT-00111,WH-002,6.84,Available
INV-00112,LOT-00112,WH-010,15.21,Available
INV-00113,LOT-00113,WH-010,11.31,Available
INV-00114,LOT-00114,WH-006,15.05,Available
INV-00115,LOT-00115,WH-009,1.53,Available
INV-00116,LOT-00116,WH-005,8.31,Available
INV-00117,LOT-00117,WH-006,19.32,Available
INV-00118,LOT-00118,WH-001,16.65,Available
INV-00119,LOT-00119,WH-007,15.03,Available
INV-00120,LOT-00120,WH-009,17.14,Available
INV-00121,LOT-00121,WH-009,8.05,Available
INV-00122,LOT-00122,WH-001,18.3,Available
INV-00123,LOT-00123,WH-002,9.69,Available
INV-00124,LOT-00124,WH-003,17.95,Available
INV-00125,LOT-00125,WH-006,2.39,Available
INV-00126,LOT-00126,WH-004,10.41,Available
INV-00127,LOT-00127,WH-010,13.17,Available
INV-00128,LOT-00128,WH-001,1.86,Available
INV-00129,LOT-00129,WH-007,4.91,Available
INV-00130,LOT-00130,WH-002,18.56,Available
INV-00131,LOT-00131,WH-001,18.18,Available
INV-00132,LOT-00132,WH-006,19.7,Available
INV-00133,LOT-00133,WH-007,16.7,Available
INV-00134,LOT-00134,WH-006,18.43,Available
INV-00135,LOT-00135,WH-007,1.85,Available
INV-00136,LOT-00136,WH-003,12.38,Available
INV-00137,LOT-00137,WH-010,13.7,Available
INV-00138,LOT-00138,WH-007,13.93,Available
INV-00139,LOT-00139,WH-005,4.89,Available
INV-00140,LOT-00140,WH-005,8.77,Available
INV-00141,LOT-00141,WH-001,8.9,Available
INV-00142,LOT-00142,WH-007,8.17,Available
INV-00143,LOT-00143,WH-004,16.52,Available
INV-00144,LOT-00144,WH-008,5.82,Available
INV-00145,LOT-00145,WH-001,12.9,Available
INV-00146,LOT-00146,WH-007,1.79,Available
INV-00147,LOT-00147,WH-008,3.45,Available
INV-00148,LOT-00148,WH-004,2.34,Available
INV-00149,LOT-00149,WH-002,3.19,Available
INV-00150,LOT-00150,WH-008,2.26,Available
INV-00151,LOT-00151,WH-009,7.22,Available
INV-00152,LOT-00152,WH-005,19.15,Available
INV-00153,LOT-00153,WH-007,6.41,Available
INV-00154,LOT-00154,WH-005,6.41,Available
INV-00155,LOT-00155,WH-010,5.97,Available
INV-00156,LOT-00156,WH-002,8.5,Available
INV-00157,LOT-00157,WH-004,19.05,Available
INV-00158,LOT-00158,WH-009,17.08,Available
INV-00159,LOT-00159,WH-004,3.42,Available
INV-00160,LOT-00160,WH-001,9.91,Available
INV-00161,LOT-00161,WH-002,3.12,Available
