id,order_id,inventory_batch_id,quantity_tons
LINE-00001,ORD-00001,INV-00001,0.86
LINE-00002,ORD-00002,INV-00002,1.66
LINE-00003,ORD-00003,INV-00003,0.73
LINE-00004,ORD-00004,INV-00004,0.74
LINE-00005,ORD-00005,INV-00005,1.37
LINE-00006,ORD-00006,INV-00006,1.65
LINE-00007,ORD-00007,INV-00007,0.75
LINE-00008,ORD-00008,INV-00008,0.26
LINE-00009,ORD-00009,INV-00009,0.34
LINE-00010,ORD-00010,INV-00010,0.5
LINE-00011,ORD-00011,INV-00011,1.94
LINE-00012,ORD-00012,INV-00012,1.06
LINE-00013,ORD-00013,INV-00013,0.79
LINE-00014,ORD-00014,INV-00014,1.2
LINE-00015,ORD-00015,INV-00015,1.58
LINE-00016,ORD-00016,INV-00016,1.12
LINE-00017,ORD-00017,INV-00017,0.77
LINE-00018,ORD-00018,INV-00018,1.03
LINE-00019,ORD-00019,INV-00019,1.04
LINE-00020,ORD-00020,INV-00020,0.79
LINE-00021,ORD-00021,INV-00021,1.9
LINE-00022,ORD-00022,INV-00022,0.98
LINE-00023,ORD-00023,INV-00023,0.6
LINE-00024,ORD-00024,INV-00024,1.81
LINE-00025,ORD-00025,INV-00025,1.0
LINE-00026,ORD-00026,INV-00026,1.98
LINE-00027,ORD-00027,INV-00027,0.7
LINE-00028,ORD-00028,INV-00028,0.83
LINE-00029,ORD-00029,INV-00029,0.29
LINE-00030,ORD-00030,INV-00030,0.68
LINE-00031,ORD-00031,INV-00031,0.8
LINE-00032,ORD-00032,INV-00032,0.64
LINE-00033,ORD-00033,INV-00033,0.6
LINE-00034,ORD-00034,INV-00034,1.28
LINE-00035,ORD-00035,INV-00035,0.93
LINE-00036,ORD-00036,INV-00036,0.73
LINE-00037,ORD-00037,INV-00037,1.0
LINE-00038,ORD-00038,INV-00038,0.58
LINE-00039,ORD-00039,INV-00039,1.06
LINE-00040,ORD-00040,INV-00040,0.39
LINE-00041,ORD-00041,INV-00041,1.79
LINE-00042,ORD-00042,INV-00042,1.24
LINE-00043,ORD-00043,INV-00043,0.88
LINE-00044,ORD-00044,INV-00044,1.25
LINE-00045,ORD-00045,INV-00045,0.92
LINE-00046,ORD-00046,INV-00046,0.81
LINE-00047,ORD-00047,INV-00047,0.34
LINE-00048,ORD-00048,INV-00048,0.9
LINE-00049,ORD-00049,INV-00049,1.07
LINE-00050,ORD-00050,INV-00050,0.26
LINE-00051,ORD-00051,INV-00051,0.89
LINE-00052,ORD-00052,INV-00052,0.44
LINE-00053,ORD-00053,INV-00053,1.18
LINE-00054,ORD-00054,INV-00054,1.06
LINE-00055,ORD-00055,INV-00055,1.43
LINE-00056,ORD-00056,INV-00056,1.0
LINE-00057,ORD-00057,INV-00057,0.66
LINE-00058,ORD-00058,INV-00058,0.39
LINE-00059,ORD-00059,INV-00059,0.8
LINE-00060,ORD-00060,INV-00060,0.76
LINE-00061,ORD-00061,INV-00061,1.17
LINE-00062,ORD-00062,INV-00062,1.74
LINE-00063,ORD-00063,INV-00063,1.72
LINE-00064,ORD-00064,INV-00064,1.59
LINE-00065,ORD-00065,INV-00065,1.32
LINE-00066,ORD-00066,INV-00066,0.86
LINE-00067,ORD-00067,INV-00067,0.74
LINE-00068,ORD-00068,INV-00068,1.4
LINE-00069,ORD-00069,INV-00069,0.68
LINE-00070,ORD-00070,INV-00070,1.95
LINE-00071,ORD-00071,INV-00071,1.57
LINE-00072,ORD-00072,INV-00072,1.78
LINE-00073,ORD-00073,INV-00073,1.9
LINE-00074,ORD-00074,INV-00074,0.76
LINE-00075,ORD-00075,INV-00075,0.64
LINE-00076,ORD-00076,INV-00076,1.49
LINE-00077,ORD-00077,INV-00077,1.62
LINE-00078,ORD-00078,INV-00078,1.64
LINE-00079,ORD-00079,INV-00079,0.78
LINE-00080,ORD-00080,INV-00080,0.46
LINE-00081,ORD-00081,INV-00081,1.25
LINE-00082,ORD-00082,INV-00082,1.31
LINE-00083,ORD-00083,INV-00083,0.68
LINE-00084,ORD-00084,INV-00084,1.31
LINE-00085,ORD-00085,INV-00085,1.71
LINE-00086,ORD-00086,INV-00086,1.9
LINE-00087,ORD-00087,INV-00087,0.7
LINE-00088,ORD-00088,INV-00088,1.26
LINE-00089,ORD-00089,INV-00089,0.75
LINE-00090,ORD-00090,INV-00090,1.26
LINE-00091,ORD-00091,INV-00091,0.72
LINE-00092,ORD-00092,INV-00092,0.97
LINE-00093,ORD-00093,INV-00093,0.28
LINE-00094,ORD-00094,INV-00094,1.58
LINE-00095,ORD-00095,INV-00095,1.71
LINE-00096,ORD-00096,INV-00096,1.47
LINE-00097,ORD-00097,INV-00097,0.55
LINE-00098,ORD-00098,INV-00098,0.64
LINE-00099,ORD-00099,INV-00099,1.29
LINE-00100,ORD-00100,INV-00100,1.13
LINE-00101,ORD-00101,INV-00101,0.47
LINE-00102,ORD-00102,INV-00102,1.52
LINE-00103,ORD-00103,INV-00103,1.52
LINE-00104,ORD-00104,INV-00104,0.63
LINE-00105,ORD-00105,INV-00105,1.26
LINE-00106,ORD-00106,INV-00106,1.68
LINE-00107,ORD-00107,INV-00107,1.37
LINE-00108,ORD-00108,INV-00108,1.79
LINE-00109,ORD-00109,INV-00109,1.27
LINE-00110,ORD-00110,INV-00110,1.88
LINE-00111,ORD-00111,INV-00111,0.42
LINE-00112,ORD-00112,INV-00112,0.53
LINE-00113,ORD-00113,INV-00113,1.94
LINE-00114,ORD-00114,INV-00114,2.0
LINE-00115,ORD-00115,INV-00115,1.58
LINE-00116,ORD-00116,INV-00116,1.03
LINE-00117,ORD-00117,INV-00117,0.36
LINE-00118,ORD-00118,INV-00118,0.55
LINE-00119,ORD-00119,INV-00119,1.76
LINE-00120,ORD-00120,INV-00120,1.58
LINE-00121,ORD-00121,INV-00121,1.09
LINE-00122,ORD-00122,INV-00122,0.78
LINE-00123,ORD-00123,INV-00123,1.74
LINE-00124,ORD-00124,INV-00124,0.86
LINE-00125,ORD-00125,INV-00125,0.75
LINE-00126,ORD-00126,INV-00126,1.49
LINE-00127,ORD-00127,INV-00127,0.97
LINE-00128,ORD-00128,INV-00128,0.84
LINE-00129,ORD-00129,INV-00129,1.65
LINE-00130,ORD-00130,INV-00130,0.48
LINE-00131,ORD-00131,INV-00131,1.61
LINE-00132,ORD-00132,INV-00132,0.32
LINE-00133,ORD-00133,INV-00133,0.27
LINE-00134,ORD-00134,INV-00134,0.78
LINE-00135,ORD-00135,INV-00135,1.24
LINE-00136,ORD-00136,INV-00136,1.73
LINE-00137,ORD-00137,INV-00137,0.92
LINE-00138,ORD-00138,INV-00138,0.36
LINE-00139,ORD-00139,INV-00139,1.52
LINE-00140,ORD-00140,INV-00140,0.64
LINE-00141,ORD-00141,INV-00141,0.35
LINE-00142,ORD-00142,INV-00142,0.3
LINE-00143,ORD-00143,INV-00143,1.82
LINE-00144,ORD-00144,INV-00144,1.78
LINE-00145,ORD-00145,INV-00145,0.44
LINE-00146,ORD-00146,INV-00146,1.61
LINE-00147,ORD-00147,INV-00147,0.61
LINE-00148,ORD-00148,INV-00148,1.76
LINE-00149,ORD-00149,INV-00149,0.83
LINE-00150,ORD-00150,INV-00150,0.94
LINE-00151,ORD-00151,INV-00151,0.87
LINE-00152,ORD-00152,INV-00152,1.49
LINE-00153,ORD-00153,INV-00153,0.94
LINE-00154,ORD-00154,INV-00154,0.83
LINE-00155,ORD-00155,INV-00155,0.84
LINE-00156,ORD-00156,INV-00156,1.44
LINE-00157,ORD-00157,INV-00157,1.07
LINE-00158,ORD-00158,INV-00158,0.25
LINE-00159,ORD-00159,INV-00159,1.89
LINE-00160,ORD-00160,INV-00160,1.95
LINE-00161,ORD-00161,INV-00161,0.39
LINE-00162,ORD-00162,INV-00162,1.25
LINE-00163,ORD-00163,INV-00163,0.63
LINE-00164,ORD-00164,INV-00164,0.37
LINE-00165,ORD-00165,INV-00165,1.49
LINE-00166,ORD-00166,INV-00166,1.22
LINE-00167,ORD-00167,INV-00167,0.58
LINE-00168,ORD-00168,INV-00168,1.47
LINE-00169,ORD-00169,INV-00169,0.94
LINE-00170,ORD-00170,INV-00170,0.64
LINE-00171,ORD-00171,INV-00171,0.38
LINE-00172,ORD-00172,INV-00172,1.89
LINE-00173,ORD-00173,INV-00173,1.21
LINE-00174,ORD-00174,INV-00174,0.33
LINE-00175,ORD-00175,INV-00175,0.61
LINE-00176,ORD-00176,INV-00176,1.81
LINE-00177,ORD-00177,INV-00177,0.58
LINE-00178,ORD-00178,INV-00178,0.96
LINE-00179,ORD-00179,INV-00179,1.88
LINE-00180,ORD-00180,INV-00180,1.55
LINE-00181,ORD-00181,INV-00181,0.31
LINE-00182,ORD-00182,INV-00182,0.69
LINE-00183,ORD-00183,INV-00183,0.79
LINE-00184,ORD-00184,INV-00184,0.76
LINE-00185,ORD-00185,INV-00185,0.71
LINE-00186,ORD-00186,INV-00186,0.61
LINE-00187,ORD-00187,INV-00187,0.44
LINE-00188,ORD-00188,INV-00188,0.78
LINE-00189,ORD-00189,INV-00189,1.41
LINE-00190,ORD-00190,INV-00190,1.5
LINE-00191,ORD-00191,INV-00191,0.98
LINE-00192,ORD-00192,INV-00192,1.55
LINE-00193,ORD-00193,INV-00193,1.43
LINE-00194,ORD-00194,INV-00194,1.4
LINE-00195,ORD-00195,INV-00195,1.62
LINE-00196,ORD-00196,INV-00196,1.2
LINE-00197,ORD-00197,INV-00197,0.3
LINE-00198,ORD-00198,INV-00198,1.22
LINE-00199,ORD-00199,INV-00199,1.83
LINE-00200,ORD-00200,INV-00200,1.91
LINE-00201,ORD-00201,INV-00201,0.8
LINE-00202,ORD-00202,INV-00202,1.49
LINE-00203,ORD-00203,INV-00203,0.5
LINE-00204,ORD-00204,INV-00204,1.76
LINE-00205,ORD-00205,INV-00205,0.92
LINE-00206,ORD-00206,INV-00206,1.27
LINE-00207,ORD-00207,INV-00207,0.34
LINE-00208,ORD-00208,INV-00208,1.8
LINE-00209,ORD-00209,INV-00209,1.39
LINE-00210,ORD-00210,INV-00210,1.38
LINE-00211,ORD-00211,INV-00211,1.95
LINE-00212,ORD-00212,INV-00212,1.02
LINE-00213,ORD-00213,INV-00213,0.75
LINE-00214,ORD-00214,INV-00214,1.07
LINE-00215,ORD-00215,INV-00215,0.58
LINE-00216,ORD-00216,INV-00216,0.32
LINE-00217,ORD-00217,INV-00217,0.61
LINE-00218,ORD-00218,INV-00218,0.81
LINE-00219,ORD-00219,INV-00219,0.52
LINE-00220,ORD-00220,INV-00220,1.19
LINE-00221,ORD-00221,INV-00221,1.63
LINE-00222,ORD-00222,INV-00222,0.89
LINE-00223,ORD-00223,INV-00223,0.33
LINE-00224,ORD-00224,INV-00224,0.53
LINE-00225,ORD-00225,INV-00225,1.23
LINE-00226,ORD-00226,INV-00226,1.9
LINE-00227,ORD-00227,INV-00227,0.99
LINE-00228,ORD-00228,INV-00228,0.84
LINE-00229,ORD-00229,INV-00229,1.03
LINE-00230,ORD-00230,INV-00230,0.84
LINE-00231,ORD-00231,INV-00231,1.78
LINE-00232,ORD-00232,INV-00232,1.86
LINE-00233,ORD-00233,INV-00233,0.53
LINE-00234,ORD-00234,INV-00234,0.6
LINE-00235,ORD-00235,INV-00235,1.16
LINE-00236,ORD-00236,INV-00236,0.52
