id,buyer_id,status
ORD-00001,BYR-0011,Reserved
ORD-00002,BYR-0038,Reserved
ORD-00003,BYR-0025,Reserved
ORD-00004,BYR-0048,Reserved
ORD-00005,BYR-0050,Reserved
ORD-00006,BYR-0012,Reserved
ORD-00007,BYR-0037,Reserved
ORD-00008,BYR-0008,Reserved
ORD-00009,BYR-0093,Reserved
ORD-00010,BYR-0031,Reserved
ORD-00011,BYR-0071,Reserved
ORD-00012,BYR-0038,Reserved
ORD-00013,BYR-0041,Reserved
ORD-00014,BYR-0084,Reserved
ORD-00015,BYR-0032,Reserved
ORD-00016,BYR-0083,Reserved
ORD-00017,BYR-0011,Reserved
ORD-00018,BYR-0076,Reserved
ORD-00019,BYR-0066,Reserved
ORD-00020,BYR-0097,Reserved
ORD-00021,BYR-0007,Reserved
ORD-00022,BYR-0062,Reserved
ORD-00023,BYR-0036,Reserved
ORD-00024,BYR-0054,Reserved
ORD-00025,BYR-0097,Reserved
ORD-00026,BYR-0099,Reserved
ORD-00027,BYR-0071,Reserved
ORD-00028,BYR-0083,Reserved
ORD-00029,BYR-0018,Reserved
ORD-00030,BYR-0025,Reserved
ORD-00031,BYR-0041,Reserved
ORD-00032,BYR-0040,Reserved
ORD-00033,BYR-0053,Reserved
ORD-00034,BYR-0076,Reserved
ORD-00035,BYR-0041,Reserved
ORD-00036,BYR-0087,Reserved
ORD-00037,BYR-0013,Reserved
ORD-00038,BYR-0005,Reserved
ORD-00039,BYR-0001,Reserved
ORD-00040,BYR-0026,Reserved
ORD-00041,BYR-0094,Reserved
ORD-00042,BYR-0099,Reserved
ORD-00043,BYR-0003,Reserved
ORD-00044,BYR-0059,Reserved
ORD-00045,BYR-0097,Reserved
ORD-00046,BYR-0052,Reserved
ORD-00047,BYR-0024,Reserved
ORD-00048,BYR-0001,Reserved
ORD-00049,BYR-0048,Reserved
ORD-00050,BYR-0036,Reserved
ORD-00051,BYR-0043,Reserved
ORD-00052,BYR-0096,Reserved
ORD-00053,BYR-0076,Reserved
ORD-00054,BYR-0049,Reserved
ORD-00055,BYR-0057,Reserved
ORD-00056,BYR-0010,Reserved
ORD-00057,BYR-0043,Reserved
ORD-00058,BYR-0003,Reserved
ORD-00059,BYR-0089,Reserved
ORD-00060,BYR-0006,Reserved
ORD-00061,BYR-0056,Reserved
ORD-00062,BYR-0056,Reserved
ORD-00063,BYR-0086,Reserved
ORD-00064,BYR-0050,Reserved
ORD-00065,BYR-0055,Reserved
ORD-00066,BYR-0035,Reserved
ORD-00067,BYR-0012,Reserved
ORD-00068,BYR-0010,Reserved
