id,order_id,buyer_id,container_number,status
SHP-00001,ORD-00001,BYR-0011,MSCU0000001,Planned
SHP-00002,ORD-00002,BYR-0038,MSCU0000002,Planned
SHP-00003,ORD-00003,BYR-0025,MSCU0000003,In Transit
SHP-00004,ORD-00004,BYR-0048,MSCU0000004,Planned
SHP-00005,ORD-00005,BYR-0050,MSCU0000005,Delivered
SHP-00006,ORD-00006,BYR-0012,MSCU0000006,In Transit
SHP-00007,ORD-00007,BYR-0037,MSCU0000007,Delivered
SHP-00008,ORD-00008,BYR-0008,MSCU0000008,Delivered
SHP-00009,ORD-00009,BYR-0093,MSCU0000009,In Transit
SHP-00010,ORD-00010,BYR-0031,MSCU0000010,In Transit
SHP-00011,ORD-00011,BYR-0071,MSCU0000011,Planned
SHP-00012,ORD-00012,BYR-0038,MSCU0000012,Planned
SHP-00013,ORD-00013,BYR-0041,MSCU0000013,Planned
SHP-00014,ORD-00014,BYR-0084,MSCU0000014,In Transit
SHP-00015,ORD-00015,BYR-0032,MSCU0000015,In Transit
SHP-00016,ORD-00016,BYR-0083,MSCU0000016,Planned
SHP-00017,ORD-00017,BYR-0011,MSCU0000017,In Transit
SHP-00018,ORD-00018,BYR-0076,MSCU0000018,Planned
SHP-00019,ORD-00019,BYR-0066,MSCU0000019,In Transit
SHP-00020,ORD-00020,BYR-0097,MSCU0000020,Delivered
SHP-00021,ORD-00021,BYR-0007,MSCU0000021,In Transit
SHP-00022,ORD-00022,BYR-0062,MSCU0000022,Delivered
SHP-00023,ORD-00023,BYR-0036,MSCU0000023,In Transit
SHP-00024,ORD-00024,BYR-0054,MSCU0000024,Delivered
SHP-00025,ORD-00025,BYR-0097,MSCU0000025,Planned
SHP-00026,ORD-00026,BYR-0099,MSCU0000026,Planned
SHP-00027,ORD-00027,BYR-0071,MSCU0000027,Planned
SHP-00028,ORD-00028,BYR-0083,MSCU0000028,Planned
SHP-00029,ORD-00029,BYR-0018,MSCU0000029,In Transit
SHP-00030,ORD-00030,BYR-0025,MSCU0000030,Delivered
SHP-00031,ORD-00031,BYR-0041,MSCU0000031,In Transit
SHP-00032,ORD-00032,BYR-0040,MSCU0000032,In Transit
SHP-00033,ORD-00033,BYR-0053,MSCU0000033,Delivered
SHP-00034,ORD-00034,BYR-0076,MSCU0000034,Delivered
SHP-00035,ORD-00035,BYR-0041,MSCU0000035,In Transit
SHP-00036,ORD-00036,BYR-0087,MSCU0000036,Planned
SHP-00037,ORD-00037,BYR-0013,MSCU0000037,In Transit
SHP-00038,ORD-00038,BYR-0005,MSCU0000038,In Transit
SHP-00039,ORD-00039,BYR-0001,MSCU0000039,Delivered
SHP-00040,ORD-00040,BYR-0026,MSCU0000040,Planned
SHP-00041,ORD-00041,BYR-0094,MSCU0000041,Planned
SHP-00042,ORD-00042,BYR-0099,MSCU0000042,In Transit
SHP-00043,ORD-00043,BYR-0003,MSCU0000043,Delivered
SHP-00044,ORD-00044,BYR-0059,MSCU0000044,Delivered
SHP-00045,ORD-00045,BYR-0097,MSCU0000045,In Transit
SHP-00046,ORD-00046,BYR-0052,MSCU0000046,In Transit
SHP-00047,ORD-00047,BYR-0024,MSCU0000047,Delivered
SHP-00048,ORD-00048,BYR-0001,MSCU0000048,Planned
SHP-00049,ORD-00049,BYR-0048,MSCU0000049,Planned
SHP-00050,ORD-00050,BYR-0036,MSCU0000050,Planned
SHP-00051,ORD-00051,BYR-0043,MSCU0000051,Delivered
SHP-00052,ORD-00052,BYR-0096,MSCU0000052,Delivered
SHP-00053,ORD-00053,BYR-0076,MSCU0000053,Delivered
SHP-00054,ORD-00054,BYR-0049,MSCU0000054,In Transit
SHP-00055,ORD-00055,BYR-0057,MSCU0000055,Planned
SHP-00056,ORD-00056,BYR-0010,MSCU0000056,Delivered
SHP-00057,ORD-00057,BYR-0043,MSCU0000057,Delivered
SHP-00058,ORD-00058,BYR-0003,MSCU0000058,Planned
SHP-00059,ORD-00059,BYR-0089,MSCU0000059,Delivered
SHP-00060,ORD-00060,BYR-0006,MSCU0000060,Planned
SHP-00061,ORD-00061,BYR-0056,MSCU0000061,In Transit
SHP-00062,ORD-00062,BYR-0056,MSCU0000062,Planned
SHP-00063,ORD-00063,BYR-0086,MSCU0000063,Planned
SHP-00064,ORD-00064,BYR-0050,MSCU0000064,Delivered
SHP-00065,ORD-00065,BYR-0055,MSCU0000065,In Transit
SHP-00066,ORD-00066,BYR-0035,MSCU0000066,Planned
SHP-00067,ORD-00067,BYR-0012,MSCU0000067,In Transit
SHP-00068,ORD-00068,BYR-0010,MSCU0000068,Planned
SHP-00069,ORD-00069,BYR-0002,MSCU0000069,In Transit
SHP-00070,ORD-00070,BYR-0083,MSCU0000070,Delivered
SHP-00071,ORD-00071,BYR-0051,MSCU0000071,Delivered
SHP-00072,ORD-00072,BYR-0048,MSCU0000072,In Transit
SHP-00073,ORD-00073,BYR-0039,MSCU0000073,Delivered
SHP-00074,ORD-00074,BYR-0012,MSCU0000074,Delivered
SHP-00075,ORD-00075,BYR-0091,MSCU0000075,Planned
SHP-00076,ORD-00076,BYR-0012,MSCU0000076,Delivered
SHP-00077,ORD-00077,BYR-0091,MSCU0000077,Planned
SHP-00078,ORD-00078,BYR-0029,MSCU0000078,Delivered
SHP-00079,ORD-00079,BYR-0037,MSCU0000079,Delivered
SHP-00080,ORD-00080,BYR-0001,MSCU0000080,In Transit
SHP-00081,ORD-00081,BYR-0058,MSCU0000081,Delivered
SHP-00082,ORD-00082,BYR-0070,MSCU0000082,In Transit
SHP-00083,ORD-00083,BYR-0042,MSCU0000083,Delivered
SHP-00084,ORD-00084,BYR-0013,MSCU0000084,Planned
SHP-00085,ORD-00085,BYR-0052,MSCU0000085,In Transit
SHP-00086,ORD-00086,BYR-0079,MSCU0000086,In Transit
SHP-00087,ORD-00087,BYR-0076,MSCU0000087,In Transit
SHP-00088,ORD-00088,BYR-0035,MSCU0000088,Planned
SHP-00089,ORD-00089,BYR-0099,MSCU0000089,In Transit
SHP-00090,ORD-00090,BYR-0080,MSCU0000090,Planned
SHP-00091,ORD-00091,BYR-0061,MSCU0000091,Planned
SHP-00092,ORD-00092,BYR-0006,MSCU0000092,Planned
SHP-00093,ORD-00093,BYR-0067,MSCU0000093,Planned
SHP-00094,ORD-00094,BYR-0079,MSCU0000094,Planned
SHP-00095,ORD-00095,BYR-0002,MSCU0000095,Planned
SHP-00096,ORD-00096,BYR-0048,MSCU0000096,In Transit
SHP-00097,ORD-00097,BYR-0099,MSCU0000097,In Transit
SHP-00098,ORD-00098,BYR-0072,MSCU0000098,Planned
SHP-00099,ORD-00099,BYR-0098,MSCU0000099,Delivered
SHP-00100,ORD-00100,BYR-0025,MSCU0000100,Delivered
SHP-00101,ORD-00101,BYR-0056,MSCU0000101,In Transit
SHP-00102,ORD-00102,BYR-0054,MSCU0000102,Planned
SHP-00103,ORD-00103,BYR-0071,MSCU0000103,Delivered
SHP-00104,ORD-00104,BYR-0026,MSCU0000104,Planned
SHP-00105,ORD-00105,BYR-0038,MSCU0000105,Planned
SHP-00106,ORD-00106,BYR-0071,MSCU0000106,Planned
SHP-00107,ORD-00107,BYR-0019,MSCU0000107,Planned
SHP-00108,ORD-00108,BYR-0049,MSCU0000108,Delivered
SHP-00109,ORD-00109,BYR-0069,MSCU0000109,In Transit
SHP-00110,ORD-00110,BYR-0093,MSCU0000110,Planned
SHP-00111,ORD-00111,BYR-0073,MSCU0000111,In Transit
SHP-00112,ORD-00112,BYR-0073,MSCU0000112,Delivered
SHP-00113,ORD-00113,BYR-0080,MSCU0000113,Delivered
SHP-00114,ORD-00114,BYR-0052,MSCU0000114,Delivered
SHP-00115,ORD-00115,BYR-0021,MSCU0000115,In Transit
SHP-00116,ORD-00116,BYR-0050,MSCU0000116,Planned
SHP-00117,ORD-00117,BYR-0078,MSCU0000117,Planned
SHP-00118,ORD-00118,BYR-0059,MSCU0000118,In Transit
SHP-00119,ORD-00119,BYR-0002,MSCU0000119,Planned
SHP-00120,ORD-00120,BYR-0068,MSCU0000120,Planned
SHP-00121,ORD-00121,BYR-0030,MSCU0000121,Delivered
SHP-00122,ORD-00122,BYR-0070,MSCU0000122,Delivered
SHP-00123,ORD-00123,BYR-0056,MSCU0000123,Delivered
SHP-00124,ORD-00124,BYR-0072,MSCU0000124,Delivered
SHP-00125,ORD-00125,BYR-0072,MSCU0000125,In Transit
SHP-00126,ORD-00126,BYR-0067,MSCU0000126,Planned
SHP-00127,ORD-00127,BYR-0082,MSCU0000127,Planned
SHP-00128,ORD-00128,BYR-0073,MSCU0000128,Planned
SHP-00129,ORD-00129,BYR-0016,MSCU0000129,Planned
SHP-00130,ORD-00130,BYR-0061,MSCU0000130,Planned
SHP-00131,ORD-00131,BYR-0068,MSCU0000131,Delivered
SHP-00132,ORD-00132,BYR-0088,MSCU0000132,Planned
SHP-00133,ORD-00133,BYR-0085,MSCU0000133,Planned
SHP-00134,ORD-00134,BYR-0083,MSCU0000134,Delivered
SHP-00135,ORD-00135,BYR-0063,MSCU0000135,In Transit
SHP-00136,ORD-00136,BYR-0079,MSCU0000136,Delivered
SHP-00137,ORD-00137,BYR-0010,MSCU0000137,Delivered
SHP-00138,ORD-00138,BYR-0047,MSCU0000138,Delivered
SHP-00139,ORD-00139,BYR-0004,MSCU0000139,Delivered
SHP-00140,ORD-00140,BYR-0048,MSCU0000140,Planned
SHP-00141,ORD-00141,BYR-0076,MSCU0000141,Planned
SHP-00142,ORD-00142,BYR-0055,MSCU0000142,Planned
SHP-00143,ORD-00143,BYR-0024,MSCU0000143,In Transit
SHP-00144,ORD-00144,BYR-0047,MSCU0000144,Planned
SHP-00145,ORD-00145,BYR-0059,MSCU0000145,Planned
SHP-00146,ORD-00146,BYR-0010,MSCU0000146,Planned
SHP-00147,ORD-00147,BYR-0073,MSCU0000147,In Transit
SHP-00148,ORD-00148,BYR-0059,MSCU0000148,In Transit
SHP-00149,ORD-00149,BYR-0049,MSCU0000149,Planned
SHP-00150,ORD-00150,BYR-0003,MSCU0000150,Planned
SHP-00151,ORD-00151,BYR-0089,MSCU0000151,Planned
SHP-00152,ORD-00152,BYR-0077,MSCU0000152,Delivered
SHP-00153,ORD-00153,BYR-0031,MSCU0000153,In Transit
SHP-00154,ORD-00154,BYR-0017,MSCU0000154,Delivered
SHP-00155,ORD-00155,BYR-0003,MSCU0000155,Planned
SHP-00156,ORD-00156,BYR-0012,MSCU0000156,Delivered
SHP-00157,ORD-00157,BYR-0017,MSCU0000157,In Transit
